Logan 5.1.1
rawFileName="H:\timo\research\PoweredUp\data\{None} 9326 201402051224.raw"
From=0:00.0, To=5:32.9
Date=05Feb2014
Time=12:24:59
Athlete={None}
EventDescription=
Time, Forward, Sideways, Up, Gyr1(d/s), Gyr2(d/s), Gyr3(d/s), Mag Fwd, Mag Left, Mag Up, 
0:00.00, 0.021, 0.755, -0.027, 12.701, 22.593, 19.376, 1.088, -2.911, -3.975, 
0:00.01, 0.007, 0.894, 0.068, 2.355, 11.121, 7.316, 1.049, -2.807, -3.883, 
0:00.02, -0.007, 0.921, 0.088, -0.688, 8.340, 4.393, 1.010, -2.706, -3.792, 
0:00.03, -0.014, 0.921, 0.088, -0.079, 8.340, 4.393, 0.974, -2.608, -3.707, 
0:00.04, -0.021, 0.921, 0.088, -0.688, 8.340, 4.393, 0.938, -2.513, -3.621, 
0:00.05, -0.021, 0.927, 0.088, -0.688, 8.687, 4.393, 0.904, -2.424, -3.543, 
0:00.06, -0.014, 0.921, 0.088, -0.688, 8.687, 4.393, 0.870, -2.335, -3.464, 
0:00.07, -0.021, 0.927, 0.088, -0.688, 8.687, 4.393, 0.839, -2.250, -3.388, 
0:00.08, -0.014, 0.927, 0.088, -0.688, 8.687, 4.393, 0.808, -2.165, -3.312, 
0:00.09, -0.014, 0.927, 0.088, -0.688, 8.687, 4.393, 0.777, -2.085, -3.243, 
0:00.10, -0.014, 0.927, 0.088, -0.079, 8.687, 4.393, 0.748, -2.006, -3.174, 
0:00.11, -0.014, 0.927, 0.088, -0.688, 8.687, 4.393, 0.719, -1.930, -3.104, 
0:00.12, -0.021, 0.934, 0.088, -0.688, 8.687, 4.393, 0.691, -1.858, -3.041, 
0:00.13, -0.014, 0.934, 0.088, -0.688, 8.687, 4.393, 0.665, -1.788, -2.978, 
0:00.14, -0.014, 0.927, 0.088, -0.688, 8.687, 4.393, 0.639, -1.718, -2.915, 
0:00.15, -0.014, 0.927, 0.088, -0.079, 8.687, 4.393, 0.613, -1.652, -2.858, 
0:00.16, -0.014, 0.927, 0.088, -0.079, 8.687, 4.393, 0.590, -1.589, -2.801, 
0:00.17, -0.021, 0.927, 0.095, -0.688, 8.687, 4.393, 0.564, -1.525, -2.744, 
0:00.18, -0.021, 0.927, 0.095, -0.688, 8.687, 4.393, 0.543, -1.465, -2.691, 
0:00.19, -0.014, 0.927, 0.088, -0.079, 8.687, 4.393, 0.519, -1.405, -2.637, 
0:00.20, -0.014, 0.927, 0.095, -0.688, 8.340, 4.393, 0.499, -1.351, -2.587, 
0:00.21, -0.021, 0.927, 0.095, -0.079, 8.687, 4.393, 0.478, -1.294, -2.539, 
0:00.22, -0.014, 0.927, 0.095, -0.688, 8.687, 4.393, 0.457, -1.241, -2.492, 
0:00.23, -0.014, 0.927, 0.095, -0.079, 8.687, 4.393, 0.439, -1.190, -2.445, 
0:00.24, -0.014, 0.921, 0.101, -0.688, 8.687, 4.393, 0.418, -1.139, -2.401, 
0:00.25, -0.014, 0.921, 0.101, -0.079, 8.687, 4.393, 0.400, -1.092, -2.360, 
0:00.26, -0.021, 0.921, 0.101, -0.079, 8.687, 4.393, 0.382, -1.044, -2.319, 
0:00.27, -0.014, 0.921, 0.108, -0.688, 8.687, 4.393, 0.366, -1.000, -2.278, 
0:00.28, -0.014, 0.921, 0.101, -0.688, 8.687, 4.393, 0.348, -0.956, -2.237, 
0:00.28, -0.014, 0.921, 0.108, -0.079, 8.687, 4.393, 0.332, -0.911, -2.199, 
0:00.30, -0.014, 0.921, 0.108, -0.688, 8.687, 4.393, 0.317, -0.870, -2.164, 
0:00.31, -0.014, 0.921, 0.101, -0.688, 8.687, 4.393, 0.301, -0.832, -2.126, 
0:00.32, -0.014, 0.927, 0.101, -0.079, 8.687, 4.393, 0.288, -0.791, -2.095, 
0:00.33, -0.021, 0.927, 0.101, -0.688, 8.687, 4.393, 0.273, -0.756, -2.060, 
0:00.34, -0.014, 0.927, 0.101, -0.688, 8.687, 4.393, 0.260, -0.718, -2.028, 
0:00.35, -0.014, 0.921, 0.108, -0.688, 8.687, 4.393, 0.247, -0.684, -1.997, 
0:00.36, -0.014, 0.921, 0.108, -0.688, 8.687, 3.662, 0.234, -0.649, -1.965, 
0:00.37, -0.014, 0.921, 0.108, -0.079, 8.687, 3.296, 0.221, -0.617, -1.937, 
0:00.38, -0.014, 0.921, 0.108, -0.688, 8.687, 3.296, 0.210, -0.582, -1.909, 
0:00.39, -0.014, 0.921, 0.108, -0.079, 8.687, 2.931, 0.197, -0.554, -1.880, 
0:00.40, -0.014, 0.921, 0.108, -0.688, 8.687, 3.296, 0.187, -0.522, -1.855, 
0:00.41, -0.014, 0.921, 0.101, -0.079, 8.687, 3.296, 0.174, -0.494, -1.826, 
0:00.42, -0.014, 0.921, 0.108, -0.079, 8.687, 3.296, 0.164, -0.465, -1.801, 
0:00.43, -0.014, 0.921, 0.108, -0.688, 8.687, 3.296, 0.153, -0.440, -1.779, 
0:00.44, -0.014, 0.927, 0.108, -0.079, 8.340, 3.296, 0.143, -0.411, -1.754, 
0:00.45, -0.021, 0.927, 0.108, -0.688, 8.687, 3.296, 0.135, -0.386, -1.732, 
0:00.46, -0.014, 0.927, 0.101, -0.688, 8.687, 3.296, 0.125, -0.361, -1.710, 
0:00.47, -0.021, 0.927, 0.101, -0.079, 8.340, 3.296, 0.117, -0.339, -1.688, 
